name,color
North America,#aec7e8
Africa,#ffbb78
Europe,#ff9896
Fmr Soviet Union,#d62728
West Asia,#dbdb8d
South Asia,#c49c94
East Asia,#ff7f0e
South-East Asia,#c5b0d5
Oceania,#17becf
Latin America,#98df8a
